id,idn,year,ed0exp,ed1exp,ed2exp,ed3exp,ed4exp,ed56exp,edexp,ed0ex,ed1ex,ed2ex,ed3ex,ed4ex,ed56ex,edex,ednosch,ed1,ed2,ed3,aveyrsed,mednosch,med1,med2,med3,maveyrsed,fednosch,fed1,fed2,fed3,faveyrsed,ginitot2599
AUL,1,1960,,,,,,,,,,,,,,,1.04,40.32,41.26,17.44,9.08,1.05,38.687727,32.738135,27.554082,9.65,1.03,41.95,49.77,7.34,8.51,0.24698
AUL,1,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1965,,,,,,,,,,,,,,,1,37.1,43.2,18.7,9.32,1,34.867334,34.70572,29.426946,9.97,1,39.3,51.57,8.13,8.67,0.23796999
AUL,1,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1970,,,,,,,,,,,,,,,0.9,29.3,48.3,21.5,9.94,0.9,28.488208,37.442276,33.169517,10.55,0.9,30.1,59,10,9.33,0.22564
AUL,1,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1975,,,,,,,,,,,,,,,1.11,18.46,56.57,23.86,10.75,0.99,18.040481,44.680205,36.281868,11.37,1.23,18.87,68.19,11.72,10.13,0.16915999
AUL,1,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1980,,,,,,,,,,,,,,,1,7.8,64.84,26.36,11.59,0.9,8.1113786,51.803618,39.188796,12.16,1.1,7.5,77.4,14,11.02,0.13688
AUL,1,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1985,,,,,,,,,,,,,,,1.02,7.66,65.38,25.95,11.6,0.86,7.6807942,54.307084,37.178872,12.12,1.18,7.64,76.03,15.15,11.08,0.14246
AUL,1,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1990,,,,,,,,,,,,,,,0.82,6.31,66.79,26.08,11.73,0.69,6.0413451,57.418079,35.854904,12.19,0.95,6.57,75.86,16.62,11.27,0.14614999
AUL,1,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1995,,,,,,,,,,,,,,,0.66,5.58,67.27,26.49,11.83,0.55,5.0601979,59.324454,35.072039,12.24,0.77,6.07,74.76,18.4,11.42,0.15015
AUL,1,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1,1997,0.06099643,1.4192659,0.96255346,0.87778736,0.07335463,1.2393366,4.6332944,0.08814728,1.6448581,1.2328786,1.1551622,0.08263597,2.0620108,6.2656929,,,,,,,,,,,,,,,,
AUL,1,1998,0.03271972,1.4738001,0.92499831,0.86606108,0.07155632,1.1862263,4.5553618,0.06563209,1.7222645,1.2138566,1.1625293,0.08886342,2.0033683,6.2565142,,,,,,,,,,,,,,,,
AUL,1,1999,0.05459394,1.6033052,1.0908091,0.81154246,0.07240024,1.1153493,4.754267,0.08678688,1.7860984,1.3592142,1.0771305,0.09199922,1.9478013,6.3564273,,,,,,,,,,,,,,,,
